id,nome_do_bloco
0,🎮 Nível Iniciante
1,🏆 Nível Aventureiro
2,⭐ Nível Explorador
3,🎯 Nível Estrategista
4,🚀 Nível Construtor
5,💎 Nível Colecionador
6,🎪 Nível Mestre
7,🎭 Nível Expert
8,👑 Nível Champion
9,⚡ Nível Sequencial
10,🧮 Nível Calculista
11,🍰 Nível Fracionário
12,⚖️ Nível Proporcional
13,📊 Nível Percentual
14,⏱️ Nível Temporal
15,🧩 Nível Analítico
16,🔄 Nível Multi-Fase
17,🧠 Nível Pensador
18,🏫 Nível Escolar
19,💰 Nível Comercial
20,🔢 Nível Padrões
21,🎯 Nível Avançado
22,🔥 Nível Supremo
23,⚡ Nível Lightning
24,🏅 Nível Campeão
25,💫 Nível Galáctico
26,🌟 Nível Lendário
