ID,Statement,Subject,Context,Difficulty,AgeRange,Mathematics,OriginalActivity
matematica_general_vcy81y_1757769156185,"🎮 João comprou 29 V-Bucks e ganhou 11 V-Bucks de presente! Quantos V-Bucks ele tem agora? 💰",matematica,general,Iniciante,6-8,subtração,🧮 Calculadora Digital Expert
matematica_shopping_f9849l_1757769156186,"🍕 A pizzaria vendeu 29 pizzas de manhã e 19 pizzas à tarde. Quantas pizzas venderam hoje? 🍕",matematica,shopping,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_toys_enwz8s_1757769156186,"⚽ No campeonato, o time fez 4 gols no primeiro jogo e 2 gols no segundo. Total de gols? ⚽",matematica,toys,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_rt2dln_1757769156186,"📚 Ana leu 30 páginas ontem e 35 páginas hoje. Quantas páginas leu no total? 📖",matematica,general,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_r8mtpu_1757769156186,"🎵 O playlist tem 16 músicas pop e 26 músicas rock. Quantas músicas ao todo? 🎶",matematica,general,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_rlivob_1757769156186,"🏗️ Maria precisa de 26 blocos vermelhos e 58 blocos azuis para sua construção. Quantos blocos no total? 🧱",matematica,general,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_kx88tx_1757769156186,"🎪 O circo vendeu 55 ingressos pela manhã e 40 à noite. Quantas pessoas assistiram? 🎭",matematica,general,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_2w5rzo_1757769156186,"🛒 No mercado, papai comprou 23 frutas e 39 verduras. Quantos itens ao todo? 🥕",matematica,general,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_3tgluc_1757769156186,"🎨 O artista usou 10 tintas vermelhas e 9 tintas azuis. Quantas tintas usou? 🖌️",matematica,general,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_entertainment_1g47wc_1757769156186,"🐾 No parque, vi 32 cachorros e 16 gatos. Quantos animais vi no total? 🐕",matematica,entertainment,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_toys_6ji9v3_1757769156186,"🎯 O arcade deu 87 tickets no jogo de basquete e 40 no jogo de dardos. Quantos tickets ganhei? 🏆",matematica,toys,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_ctsw7x_1757769156186,"📱 O app teve 73 downloads de manhã e 56 à tarde. Total de downloads hoje? 📈",matematica,general,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_a57jah_1757769156186,"🍔 A lanchonete fez 93 hambúrgueres e 39 batatas fritas. Quantos itens prepararam? 🍟",matematica,general,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_farm_c3gg5v_1757769156186,"🎮 No servidor, entraram 94 jogadores novos e 125 jogadores antigos. Quantos players online? 👾",matematica,farm,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_yk49k9_1757769156187,"🎬 O cinema vendeu 64 ingressos para o filme de ação e 70 para a comédia. Total vendido? 🍿",matematica,general,Iniciante,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_csw680_1757769156187,"⚔️ O cavaleiro coletou 275 moedas de ouro no castelo e 290 no dragão. Quanto ouro tem? 💰",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_shopping_wfrbrx_1757769156187,"🏪 A loja vendeu 304 itens pela manhã e 179 à tarde. Quantos itens venderam hoje? 🛍️",matematica,shopping,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_mathematics_rr3ub1_1757769156187,"🚗 Na corrida, o carro azul fez 193 pontos e o vermelho 314 pontos. Quantos pontos somados? 🏁",matematica,mathematics,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_8g1oto_1757769156187,"🎪 O mágico fez 183 truques no primeiro show e 220 no segundo. Quantos truques ao todo? ✨",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_85c1ux_1757769156187,"🌟 O influencer ganhou 336 seguidores no YouTube e 240 no TikTok. Total de seguidores? 📱",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_e932l9_1757769156187,"🐠 O aquário tinha 445 peixes tropicais e chegaram 215 peixes novos. Quantos peixes agora? 🐟",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_2pyf0x_1757769156187,"🏖️ Na praia, construí 315 castelos de areia de manhã e 205 à tarde. Quantos castelos fiz? 🏰",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_1mtobr_1757769156187,"⛵ O barco pescou 301 peixes pela manhã e 365 à tarde. Quantos peixes pescaram? 🎣",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_58i6qc_1757769156187,"🌺 A ilha tem 354 coqueiros na praia norte e 398 na praia sul. Quantos coqueiros no total? 🥥",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
